data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,44398656,144486377,1,2021-09-28,1,N,13B,31,28,M,10,10,R,,,28,
2021,44398657,144486377,2,2021-10-06,1,N,13B,56,53,M,98,10,U,,,53,
2021,43979795,142969381,1,2021-09-28,1,N,13B,37,34,M,20,20,U,,,34,
2021,46149865,150921298,1,2021-09-28,1,N,23C,44,41,M,20,20,R,,,41,
2021,44398654,144486352,1,2021-09-28,1,N,13B,54,51,M,10,40,R,,,51,
2021,44398660,144486423,1,2021-09-28,1,N,520,32,29,M,20,20,U,,,29,
2021,43979775,142969235,1,2021-09-28,1,N,13B,27,24,M,20,20,N,,,24,
2021,43979799,142969399,1,2021-09-28,1,N,13B,37,34,M,10,40,R,,,34,
2021,43979820,142969595,1,2021-09-29,1,N,13C,22,19,F,20,20,R,,,19,
2021,44398694,144486808,1,2021-09-29,1,N,13B,18,15,F,20,20,U,R,,15,
2021,44989862,146707702,1,2021-09-29,1,N,520,33,30,M,20,20,R,,,30,
2021,44989863,146707702,2,2021-09-29,1,N,520,38,35,M,20,40,R,,,35,
2021,44647767,145432781,1,2021-09-29,1,N,23H,39,36,F,20,20,N,,,36,
2021,43979752,142969044,1,2021-09-29,1,N,13B,31,28,F,20,20,U,,,28,
2021,44989877,146707762,1,2021-09-29,1,N,13B,43,40,M,20,20,U,,,40,
2021,44398668,144486523,1,2021-09-29,1,N,120,18,15,M,20,20,R,R,,15,
2021,44398669,144486523,2,2021-09-29,1,N,120,18,15,M,20,20,U,R,,15,
2021,44989911,146708040,1,2021-10-14,3,N,520,20,17,M,20,10,R,R,,17,
2021,44398678,144486645,1,2021-10-05,1,N,13B,30,27,M,20,20,U,,,27,
2021,43979816,142969545,1,2021-09-29,1,N,13B,22,19,F,20,20,U,,,19,
2021,43979797,142969389,1,2021-09-29,1,N,23H,49,46,M,20,40,N,,,46,
2021,44398681,144486705,1,2021-09-29,1,N,13B,26,23,M,20,40,R,,,23,
2021,44989904,146707973,1,2021-09-29,1,N,520,23,20,M,20,40,R,,,20,
2021,44989905,146707973,2,2021-09-29,1,N,520,22,19,M,10,20,R,,,19,
2021,43979818,142969562,1,2021-09-29,1,N,13A,45,42,M,20,20,R,,,42,
2021,44989912,146708044,1,2021-09-29,1,N,13C,30,27,M,20,20,R,,,27,
2021,43979789,142969321,1,2021-09-29,1,N,13B,30,27,M,20,20,R,,,27,
2021,46149841,150921178,1,2022-01-28,3,N,280,28,25,M,20,20,R,,,25,
2021,44989895,146707865,1,2021-09-29,1,N,120,19,16,M,20,20,U,R,,16,
2021,44989825,146707413,1,2021-09-29,1,N,520,22,19,M,20,20,U,,,19,
2021,44398707,144486934,1,2021-09-29,1,N,13B,41,38,M,20,40,R,,,38,
2021,43979847,142969836,1,2021-09-29,1,N,520,24,21,M,20,40,U,,,21,
2021,44989839,146707527,1,2021-09-30,1,N,13A,38,35,F,10,10,U,,,35,
2021,44398696,144486842,1,2021-09-30,1,N,290,58,55,M,20,20,U,,,55,
2021,44989869,146707733,1,2021-12-09,3,N,13B,46,43,M,20,20,U,,,43,
